R18A1603.344266
U-C_VOL_ 16/10/2018 03:34:41 16/10/2018 03:34:41 0170 23.7534 38.0631 -6.4 85.0 15.0 1013.0
10.0 160.0 25.0  00.0 -10.0 00.2  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
0 (mV), 1 (counts), 2 (mV), 3 (counts), 4 (mV), 5 (counts), 6 (mV), 7 (counts), 8 (counts), 9 (counts)
9.4366,24.0000,0.0000,0.0000,9.7453,43.0000,0.0000,0.0000,21.0000,0.0000
9.4192,24.0000,0.0000,0.0000,9.7401,51.0000,0.0000,0.0000,21.0000,0.0000
9.4976,28.0000,0.0000,0.0000,9.7436,49.0000,0.0000,0.0000,22.0000,0.0000
9.4540,13.0000,0.0000,0.0000,9.7453,58.0000,0.0000,0.0000,36.0000,0.0000
9.4628,35.0000,0.0000,0.0000,9.7767,76.0000,0.0000,0.0000,42.0000,0.0000
9.3232,39.0000,0.0000,0.0000,9.7680,95.0000,0.0000,0.0000,68.0000,0.0000
9.5151,87.0000,0.0000,0.0000,9.7418,97.0000,0.0000,0.0000,85.0000,0.0000
9.5761,93.0000,0.0000,0.0000,9.7994,104.0000,0.0000,0.0000,94.0000,0.0000
9.4628,99.0000,0.0000,0.0000,9.7785,100.0000,0.0000,0.0000,90.0000,0.0000
9.8029,95.0000,0.0000,0.0000,10.2285,99.0000,0.0000,0.0000,100.0000,0.0000
10.5268,100.0000,0.0000,0.0000,11.8053,96.0000,0.0000,0.0000,92.0000,0.0000
10.7535,98.0000,0.0000,0.0000,12.8973,91.0000,0.0000,0.0000,93.0000,0.0000
10.6489,99.0000,0.0000,0.0000,12.8345,99.0000,0.0000,0.0000,102.0000,0.0000
11.0849,101.0000,0.0000,0.0000,13.7991,99.0000,0.0000,0.0000,97.0000,0.0000
12.0879,99.0000,0.0000,0.0000,19.8168,107.0000,0.0000,0.0000,101.0000,0.0000
15.8730,108.0000,0.0000,0.0000,41.7199,111.0000,0.0000,0.0000,99.0000,0.0000
28.7371,100.0000,0.0000,0.0000,83.6386,101.0000,0.0000,0.0000,101.0000,0.0000
49.7820,106.0000,0.0000,0.0000,131.9327,101.0000,0.0000,0.0000,95.0000,0.0000
69.5535,99.0000,0.0000,0.0000,174.9922,98.0000,0.0000,0.0000,94.0000,0.0000
87.1272,103.0000,0.0000,0.0000,199.0023,98.0000,0.0000,0.0000,105.0000,0.0000
99.9738,99.0000,0.0000,0.0000,200.0000,104.0000,0.0000,0.0000,106.0000,0.0000
109.0267,101.0000,0.0000,0.0000,200.0000,95.0000,0.0000,0.0000,99.0000,0.0000
119.1436,98.0000,0.0000,0.0000,200.0000,93.0000,0.0000,0.0000,106.0000,0.0000
126.8010,101.0000,0.0000,0.0000,200.0000,101.0000,0.0000,0.0000,96.0000,0.0000
130.3419,101.0000,0.0000,0.0000,200.0000,97.0000,0.0000,0.0000,105.0000,0.0000
132.4176,98.0000,0.0000,0.0000,200.0000,105.0000,0.0000,0.0000,91.0000,0.0000
132.2780,104.0000,0.0000,0.0000,200.0000,99.0000,0.0000,0.0000,100.0000,0.0000
132.0251,96.0000,0.0000,0.0000,200.0000,101.0000,0.0000,0.0000,100.0000,0.0000
133.3595,98.0000,0.0000,0.0000,200.0000,107.0000,0.0000,0.0000,107.0000,0.0000
132.7752,104.0000,0.0000,0.0000,200.0000,97.0000,0.0000,0.0000,103.0000,0.0000
128.3098,99.0000,0.0000,0.0000,200.0000,99.0000,0.0000,0.0000,100.0000,0.0000
126.0858,102.0000,0.0000,0.0000,200.0000,104.0000,0.0000,0.0000,92.0000,0.0000
126.0945,94.0000,0.0000,0.0000,200.0000,93.0000,0.0000,0.0000,96.0000,0.0000
123.5392,98.0000,0.0000,0.0000,200.0000,93.0000,0.0000,0.0000,96.0000,0.0000
118.5941,95.0000,0.0000,0.0000,200.0000,101.0000,0.0000,0.0000,103.0000,0.0000
115.5067,105.0000,0.0000,0.0000,200.0000,93.0000,0.0000,0.0000,98.0000,0.0000
111.0675,95.0000,0.0000,0.0000,200.0000,100.0000,0.0000,0.0000,104.0000,0.0000
106.7155,103.0000,0.0000,0.0000,200.0000,97.0000,0.0000,0.0000,104.0000,0.0000
103.1572,95.0000,0.0000,0.0000,200.0000,101.0000,0.0000,0.0000,97.0000,0.0000
97.5144,97.0000,0.0000,0.0000,200.0000,98.0000,0.0000,0.0000,98.0000,0.0000
96.6248,102.0000,0.0000,0.0000,199.4976,95.0000,0.0000,0.0000,93.0000,0.0000
96.4068,93.0000,0.0000,0.0000,199.1226,101.0000,0.0000,0.0000,96.0000,0.0000
92.3251,98.0000,0.0000,0.0000,196.9737,101.0000,0.0000,0.0000,96.0000,0.0000
87.8336,104.0000,0.0000,0.0000,191.4268,93.0000,0.0000,0.0000,95.0000,0.0000
85.7056,102.0000,0.0000,0.0000,183.0089,104.0000,0.0000,0.0000,97.0000,0.0000
83.5601,95.0000,0.0000,0.0000,177.2580,106.0000,0.0000,0.0000,96.0000,0.0000
78.3272,96.0000,0.0000,0.0000,171.8629,104.0000,0.0000,0.0000,88.0000,0.0000
75.2747,98.0000,0.0000,0.0000,164.4724,102.0000,0.0000,0.0000,96.0000,0.0000
75.4840,111.0000,0.0000,0.0000,158.9499,99.0000,0.0000,0.0000,97.0000,0.0000
71.4373,90.0000,0.0000,0.0000,154.4008,94.0000,0.0000,0.0000,100.0000,0.0000
67.2074,99.0000,0.0000,0.0000,149.1122,92.0000,0.0000,0.0000,90.0000,0.0000
65.4282,88.0000,0.0000,0.0000,140.4151,100.0000,0.0000,0.0000,93.0000,0.0000
63.5967,98.0000,0.0000,0.0000,132.7682,102.0000,0.0000,0.0000,92.0000,0.0000
61.5472,90.0000,0.0000,0.0000,127.9278,93.0000,0.0000,0.0000,88.0000,0.0000
59.4104,93.0000,0.0000,0.0000,122.3583,103.0000,0.0000,0.0000,98.0000,0.0000
57.7185,100.0000,0.0000,0.0000,118.3953,102.0000,0.0000,0.0000,93.0000,0.0000
55.5643,105.0000,0.0000,0.0000,112.8955,88.0000,0.0000,0.0000,101.0000,0.0000
53.5758,92.0000,0.0000,0.0000,106.1887,104.0000,0.0000,0.0000,97.0000,0.0000
52.6252,92.0000,0.0000,0.0000,103.9526,102.0000,0.0000,0.0000,97.0000,0.0000
49.4505,101.0000,0.0000,0.0000,101.2890,98.0000,0.0000,0.0000,92.0000,0.0000
47.0522,74.0000,0.0000,0.0000,97.3487,81.0000,0.0000,0.0000,80.0000,0.0000
47.8545,32.0000,0.0000,0.0000,95.8521,3.0000,0.0000,0.0000,42.0000,0.0000
46.8603,24.0000,0.0000,0.0000,93.0385,29.0000,0.0000,0.0000,28.0000,0.0000
46.0143,40.0000,0.0000,0.0000,88.8383,0.0000,0.0000,0.0000,32.0000,0.0000
43.6421,52.0000,0.0000,0.0000,86.7853,17.0000,0.0000,0.0000,17.0000,0.0000
40.9471,25.0000,0.0000,0.0000,83.7467,30.0000,0.0000,0.0000,1.0000,0.0000
40.3977,62.0000,0.0000,0.0000,79.3023,54.0000,0.0000,0.0000,2.0000,0.0000
39.4035,23.0000,0.0000,0.0000,76.3405,27.0000,0.0000,0.0000,3.0000,0.0000
41.7844,6.0000,0.0000,0.0000,75.5782,38.0000,0.0000,0.0000,2.0000,0.0000
358.3900,3.0000,0.0000,0.0000,116.3998,31.0000,0.0000,0.0000,0.0000,0.0000
995.2555,7.0000,0.0000,0.0000,200.0000,21.0000,0.0000,0.0000,1.0000,0.0000
970.1901,0.0000,0.0000,0.0000,200.0000,4.0000,0.0000,0.0000,1.0000,0.0000
142.4647,6.0000,0.0000,0.0000,200.0000,5.0000,0.0000,0.0000,1.0000,0.0000
15.6637,1.0000,0.0000,0.0000,200.0000,5.0000,0.0000,0.0000,1.0000,0.0000
187.6941,3.0000,0.0000,0.0000,200.0000,3.0000,0.0000,0.0000,0.0000,0.0000
13.9717,2.0000,0.0000,0.0000,200.0000,4.0000,0.0000,0.0000,0.0000,0.0000
6.0440,1.0000,0.0000,0.0000,153.2601,2.0000,0.0000,0.0000,1.0000,0.0000
60.0209,4.0000,0.0000,0.0000,9.3267,4.0000,0.0000,0.0000,0.0000,0.0000
4.4915,1.0000,0.0000,0.0000,31.3466,2.0000,0.0000,0.0000,1.0000,0.0000
4.3346,2.0000,0.0000,0.0000,22.0234,5.0000,0.0000,0.0000,0.0000,0.0000
24.0101,3.0000,0.0000,0.0000,4.9189,3.0000,0.0000,0.0000,0.0000,0.0000
4.8230,0.0000,0.0000,0.0000,17.3679,0.0000,0.0000,0.0000,0.0000,0.0000
7.7010,1.0000,0.0000,0.0000,13.0403,6.0000,0.0000,0.0000,0.0000,0.0000
14.3991,1.0000,0.0000,0.0000,8.1964,0.0000,0.0000,0.0000,0.0000,0.0000
8.1633,2.0000,0.0000,0.0000,11.7478,1.0000,0.0000,0.0000,2.0000,0.0000
9.4540,0.0000,0.0000,0.0000,10.3262,2.0000,0.0000,0.0000,0.0000,0.0000
11.1634,1.0000,0.0000,0.0000,9.2796,0.0000,0.0000,0.0000,0.0000,0.0000
9.2534,2.0000,0.0000,0.0000,10.4378,2.0000,0.0000,0.0000,0.0000,0.0000
9.6459,3.0000,0.0000,0.0000,10.0087,3.0000,0.0000,0.0000,0.0000,0.0000
9.9512,1.0000,0.0000,0.0000,9.6267,4.0000,0.0000,0.0000,1.0000,0.0000
9.2447,1.0000,0.0000,0.0000,9.8343,2.0000,0.0000,0.0000,0.0000,0.0000
9.5238,0.0000,0.0000,0.0000,9.6930,2.0000,0.0000,0.0000,0.0000,0.0000
9.7418,0.0000,0.0000,0.0000,9.7575,3.0000,0.0000,0.0000,0.0000,0.0000
9.5238,0.0000,0.0000,0.0000,9.8692,2.0000,0.0000,0.0000,0.0000,0.0000
9.5936,0.0000,0.0000,0.0000,9.8465,7.0000,0.0000,0.0000,0.0000,0.0000
9.7244,0.0000,0.0000,0.0000,9.9616,2.0000,0.0000,0.0000,0.0000,0.0000
9.7070,0.0000,0.0000,0.0000,10.0000,1.0000,0.0000,0.0000,0.0000,0.0000
9.7680,0.0000,0.0000,0.0000,9.9023,1.0000,0.0000,0.0000,2.0000,0.0000
9.6459,0.0000,0.0000,0.0000,9.9145,2.0000,0.0000,0.0000,0.0000,0.0000
9.5674,1.0000,0.0000,0.0000,9.9878,1.0000,0.0000,0.0000,0.0000,0.0000
9.5413,0.0000,0.0000,0.0000,9.8657,2.0000,0.0000,0.0000,0.0000,0.0000
9.4366,2.0000,0.0000,0.0000,9.7000,1.0000,0.0000,0.0000,0.0000,0.0000
9.4279,1.0000,0.0000,0.0000,9.6913,1.0000,0.0000,0.0000,0.0000,0.0000
9.4889,2.0000,0.0000,0.0000,9.7628,0.0000,0.0000,0.0000,0.0000,0.0000
9.5500,1.0000,0.0000,0.0000,9.8901,0.0000,0.0000,0.0000,0.0000,0.0000
9.5325,0.0000,0.0000,0.0000,9.8482,0.0000,0.0000,0.0000,0.0000,0.0000
9.5064,0.0000,0.0000,0.0000,9.8099,0.0000,0.0000,0.0000,0.0000,0.0000
9.5325,0.0000,0.0000,0.0000,9.8971,2.0000,0.0000,0.0000,0.0000,0.0000
9.5849,0.0000,0.0000,0.0000,9.8901,0.0000,0.0000,0.0000,0.0000,0.0000
9.6285,0.0000,0.0000,0.0000,9.8814,0.0000,0.0000,0.0000,0.0000,0.0000
9.5849,0.0000,0.0000,0.0000,9.8343,0.0000,0.0000,0.0000,0.0000,0.0000
9.6285,1.0000,0.0000,0.0000,9.7575,0.0000,0.0000,0.0000,0.0000,0.0000
9.5849,0.0000,0.0000,0.0000,9.7104,1.0000,0.0000,0.0000,0.0000,0.0000
