R18A1603.394638
U-C_VOL_ 16/10/2018 03:39:46 16/10/2018 03:39:46 0170 23.7534 38.0631 0.0 135.0 15.0 1013.0
10.0 160.0 25.0  00.0 -10.0 00.2  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
0 (mV), 1 (counts), 2 (mV), 3 (counts), 4 (mV), 5 (counts), 6 (mV), 7 (counts), 8 (counts), 9 (counts)
9.1052,19.0000,0.0000,0.0000,9.3895,42.0000,0.0000,0.0000,22.0000,0.0000
9.0877,22.0000,0.0000,0.0000,9.3878,45.0000,0.0000,0.0000,25.0000,0.0000
9.1226,29.0000,0.0000,0.0000,9.3895,46.0000,0.0000,0.0000,24.0000,0.0000
9.1313,23.0000,0.0000,0.0000,9.3930,43.0000,0.0000,0.0000,24.0000,0.0000
9.1226,27.0000,0.0000,0.0000,9.3895,72.0000,0.0000,0.0000,37.0000,0.0000
8.9395,56.0000,0.0000,0.0000,9.3947,80.0000,0.0000,0.0000,83.0000,0.0000
9.2534,78.0000,0.0000,0.0000,9.3808,97.0000,0.0000,0.0000,86.0000,0.0000
9.2098,94.0000,0.0000,0.0000,9.4418,100.0000,0.0000,0.0000,100.0000,0.0000
9.1052,103.0000,0.0000,0.0000,9.4139,90.0000,0.0000,0.0000,90.0000,0.0000
9.3232,93.0000,0.0000,0.0000,9.7052,104.0000,0.0000,0.0000,97.0000,0.0000
10.0733,101.0000,0.0000,0.0000,11.2786,99.0000,0.0000,0.0000,87.0000,0.0000
10.3262,92.0000,0.0000,0.0000,12.5467,86.0000,0.0000,0.0000,94.0000,0.0000
