R18A1801.030604
U-C_VOL_ 18/10/2018 01:03:06 18/10/2018 01:03:06 0170 23.7534 38.0631 -1.8 142.0 15.0 1013.0
22.0 162.0 30.0  00.0 -10.0 00.2  00.0
0000013 0020 0000013 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
0 (mV), 1 (counts), 2 (mV), 3 (counts), 4 (mV), 5 (counts), 6 (mV), 7 (counts), 8 (counts), 9 (counts)
9.1387,24.0000,0.0000,0.0000,9.6797,46.0000,0.0000,0.0000,31.0000,0.0000
9.2233,31.0000,0.0000,0.0000,9.6910,71.0000,0.0000,0.0000,26.0000,0.0000
9.2420,21.0000,0.0000,0.0000,9.6816,61.0000,0.0000,0.0000,33.0000,0.0000
9.1857,27.0000,0.0000,0.0000,9.7041,52.0000,0.0000,0.0000,22.0000,0.0000
9.1199,29.0000,0.0000,0.0000,9.7135,59.0000,0.0000,0.0000,22.0000,0.0000
9.0918,27.0000,0.0000,0.0000,9.7079,73.0000,0.0000,0.0000,51.0000,0.0000
9.3454,41.0000,0.0000,0.0000,9.6910,88.0000,0.0000,0.0000,55.0000,0.0000
9.3360,69.0000,0.0000,0.0000,9.7323,92.0000,0.0000,0.0000,85.0000,0.0000
9.2702,85.0000,0.0000,0.0000,9.8075,94.0000,0.0000,0.0000,85.0000,0.0000
9.6083,90.0000,0.0000,0.0000,10.8500,97.0000,0.0000,0.0000,81.0000,0.0000
10.4630,99.0000,0.0000,0.0000,13.2357,81.0000,0.0000,0.0000,87.0000,0.0000
10.6697,78.0000,0.0000,0.0000,14.7422,42.0000,0.0000,0.0000,98.0000,0.0000
10.3222,85.0000,0.0000,0.0000,14.4999,54.0000,0.0000,0.0000,80.0000,0.0000
10.8575,84.0000,0.0000,0.0000,14.1862,64.0000,0.0000,0.0000,91.0000,0.0000
