R18A1803.254358
U-C_VOL_ 18/10/2018 03:25:42 18/10/2018 03:25:42 0170 23.7534 38.0631 0.0 84.0 15.0 1013.0
10.0 169.0 02.0  00.0 -20.0 00.5  00.0
0000015 0020 0000015 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000015 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000015 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000015 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000015 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000015 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
0 (mV), 1 (counts), 2 (mV), 3 (counts), 4 (mV), 5 (counts), 6 (mV), 7 (counts), 8 (counts), 9 (counts)
8.8726,99.0000,0.0000,0.0000,9.3366,83.0000,0.0000,0.0000,34.0000,0.0000
8.8970,100.0000,0.0000,0.0000,9.3480,100.0000,0.0000,0.0000,40.0000,0.0000
8.8482,104.0000,0.0000,0.0000,9.3529,97.0000,0.0000,0.0000,50.0000,0.0000
8.7912,101.0000,0.0000,0.0000,9.3366,99.0000,0.0000,0.0000,35.0000,0.0000
8.8319,101.0000,0.0000,0.0000,9.3284,110.0000,0.0000,0.0000,33.0000,0.0000
8.6447,102.0000,0.0000,0.0000,9.3333,101.0000,0.0000,0.0000,44.0000,0.0000
8.9214,102.0000,0.0000,0.0000,9.3366,83.0000,0.0000,0.0000,56.0000,0.0000
8.9784,106.0000,0.0000,0.0000,9.3708,101.0000,0.0000,0.0000,70.0000,0.0000
11.4530,99.0000,0.0000,0.0000,11.6516,102.0000,0.0000,0.0000,74.0000,0.0000
33.8869,99.0000,0.0000,0.0000,51.4042,75.0000,0.0000,0.0000,72.0000,0.0000
76.6056,39.0000,0.0000,0.0000,168.2344,20.0000,0.0000,0.0000,51.0000,0.0000
85.5026,27.0000,0.0000,0.0000,193.3333,26.0000,0.0000,0.0000,45.0000,0.0000
58.0708,12.0000,0.0000,0.0000,193.3333,17.0000,0.0000,0.0000,29.0000,0.0000
42.7432,27.0000,0.0000,0.0000,193.3333,22.0000,0.0000,0.0000,40.0000,0.0000
49.5075,26.0000,0.0000,0.0000,189.6622,22.0000,0.0000,0.0000,17.0000,0.0000
62.6699,36.0000,0.0000,0.0000,193.3333,43.0000,0.0000,0.0000,1.0000,0.0000
87.7574,31.0000,0.0000,0.0000,193.3333,27.0000,0.0000,0.0000,0.0000,0.0000
136.5812,2.0000,0.0000,0.0000,193.3333,17.0000,0.0000,0.0000,0.0000,0.0000
238.0057,5.0000,0.0000,0.0000,193.3333,51.0000,0.0000,0.0000,0.0000,0.0000
630.1180,2.0000,0.0000,0.0000,193.3333,32.0000,0.0000,0.0000,0.0000,0.0000
956.0602,4.0000,0.0000,0.0000,193.3333,20.0000,0.0000,0.0000,0.0000,0.0000
402.4664,5.0000,0.0000,0.0000,193.3333,16.0000,0.0000,0.0000,0.0000,0.0000
1.3105,4.0000,0.0000,0.0000,193.3333,19.0000,0.0000,0.0000,0.0000,0.0000
57.8592,7.0000,0.0000,0.0000,193.3333,7.0000,0.0000,0.0000,0.0000,0.0000
71.1030,3.0000,0.0000,0.0000,193.3333,7.0000,0.0000,0.0000,0.0000,0.0000
0.0000,3.0000,0.0000,0.0000,193.3333,13.0000,0.0000,0.0000,0.0000,0.0000
22.2141,1.0000,0.0000,0.0000,193.3333,13.0000,0.0000,0.0000,0.0000,0.0000
23.2723,1.0000,0.0000,0.0000,122.0090,6.0000,0.0000,0.0000,0.0000,0.0000
0.1384,1.0000,0.0000,0.0000,47.3455,10.0000,0.0000,0.0000,0.0000,0.0000
12.4135,1.0000,0.0000,0.0000,19.3602,8.0000,0.0000,0.0000,0.0000,0.0000
12.6496,0.0000,0.0000,0.0000,8.4282,10.0000,0.0000,0.0000,0.0000,0.0000
5.0712,0.0000,0.0000,0.0000,20.3191,7.0000,0.0000,0.0000,0.0000,0.0000
10.8018,1.0000,0.0000,0.0000,16.7375,5.0000,0.0000,0.0000,0.0000,0.0000
10.2320,2.0000,0.0000,0.0000,12.4347,10.0000,0.0000,0.0000,0.0000,0.0000
8.0993,0.0000,0.0000,0.0000,14.3020,11.0000,0.0000,0.0000,0.0000,0.0000
10.0529,1.0000,0.0000,0.0000,12.2833,6.0000,0.0000,0.0000,0.0000,0.0000
9.6459,1.0000,0.0000,0.0000,10.7757,10.0000,0.0000,0.0000,0.0000,0.0000
8.9621,1.0000,0.0000,0.0000,10.9776,14.0000,0.0000,0.0000,0.0000,0.0000
9.4180,3.0000,0.0000,0.0000,10.2825,11.0000,0.0000,0.0000,0.0000,0.0000
8.9703,0.0000,0.0000,0.0000,9.6801,4.0000,0.0000,0.0000,0.0000,0.0000
8.6284,1.0000,0.0000,0.0000,9.5678,7.0000,0.0000,0.0000,0.0000,0.0000
8.7912,1.0000,0.0000,0.0000,9.1950,3.0000,0.0000,0.0000,0.0000,0.0000
8.6284,1.0000,0.0000,0.0000,9.0224,9.0000,0.0000,0.0000,0.0000,0.0000
8.5714,1.0000,0.0000,0.0000,9.3936,8.0000,0.0000,0.0000,0.0000,0.0000
8.7586,0.0000,0.0000,0.0000,9.6899,6.0000,0.0000,0.0000,0.0000,0.0000
8.8889,2.0000,0.0000,0.0000,9.7257,3.0000,0.0000,0.0000,0.0000,0.0000
9.0598,0.0000,0.0000,0.0000,9.9520,7.0000,0.0000,0.0000,0.0000,0.0000
9.2552,0.0000,0.0000,0.0000,10.1669,6.0000,0.0000,0.0000,0.0000,0.0000
9.3366,1.0000,0.0000,0.0000,10.0627,6.0000,0.0000,0.0000,0.0000,0.0000
9.2226,0.0000,0.0000,0.0000,9.8575,8.0000,0.0000,0.0000,0.0000,0.0000
9.1249,0.0000,0.0000,0.0000,9.7306,3.0000,0.0000,0.0000,0.0000,0.0000
9.0273,0.0000,0.0000,0.0000,9.5629,4.0000,0.0000,0.0000,0.0000,0.0000
8.8563,0.0000,0.0000,0.0000,9.4945,4.0000,0.0000,0.0000,0.0000,0.0000
8.7179,0.0000,0.0000,0.0000,9.4310,1.0000,0.0000,0.0000,0.0000,0.0000
8.7017,0.0000,0.0000,0.0000,9.2601,2.0000,0.0000,0.0000,0.0000,0.0000
8.6610,0.0000,0.0000,0.0000,9.2112,2.0000,0.0000,0.0000,0.0000,0.0000
8.6691,0.0000,0.0000,0.0000,9.4212,3.0000,0.0000,0.0000,0.0000,0.0000
8.8645,0.0000,0.0000,0.0000,9.6410,4.0000,0.0000,0.0000,0.0000,0.0000
9.0273,0.0000,0.0000,0.0000,9.7061,1.0000,0.0000,0.0000,0.0000,0.0000
9.0435,1.0000,0.0000,0.0000,9.7908,1.0000,0.0000,0.0000,0.0000,0.0000
9.1575,0.0000,0.0000,0.0000,9.7680,0.0000,0.0000,0.0000,0.0000,0.0000
9.1494,1.0000,0.0000,0.0000,9.6052,1.0000,0.0000,0.0000,0.0000,0.0000
8.9947,0.0000,0.0000,0.0000,9.5271,0.0000,0.0000,0.0000,0.0000,0.0000
8.9214,0.0000,0.0000,0.0000,9.4554,0.0000,0.0000,0.0000,0.0000,0.0000
8.8726,0.0000,0.0000,0.0000,9.3252,0.0000,0.0000,0.0000,0.0000,0.0000
8.7017,0.0000,0.0000,0.0000,9.2340,1.0000,0.0000,0.0000,0.0000,0.0000
8.6528,0.0000,0.0000,0.0000,9.2438,0.0000,0.0000,0.0000,0.0000,0.0000
8.6935,0.0000,0.0000,0.0000,9.2650,0.0000,0.0000,0.0000,0.0000,0.0000
8.7668,0.0000,0.0000,0.0000,9.2861,3.0000,0.0000,0.0000,0.0000,0.0000
8.8482,0.0000,0.0000,0.0000,9.3659,1.0000,0.0000,0.0000,0.0000,0.0000
8.9296,0.0000,0.0000,0.0000,9.4359,1.0000,0.0000,0.0000,0.0000,0.0000
9.0191,0.0000,0.0000,0.0000,9.5124,0.0000,0.0000,0.0000,0.0000,0.0000
