R18A1803.221379
U-C_VOL_ 18/10/2018 03:22:12 18/10/2018 03:22:12 0170 23.7534 38.0631 -20.0 0.0 15.0 1013.0
10.0 169.0 02.0  00.0 -20.0 00.5  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
0 (mV), 1 (counts), 2 (mV), 3 (counts), 4 (mV), 5 (counts), 6 (mV), 7 (counts), 8 (counts), 9 (counts)
9.1313,17.0000,0.0000,0.0000,9.6773,53.0000,0.0000,0.0000,22.0000,0.0000
9.1750,27.0000,0.0000,0.0000,9.6738,57.0000,0.0000,0.0000,28.0000,0.0000
9.1226,18.0000,0.0000,0.0000,9.6756,62.0000,0.0000,0.0000,27.0000,0.0000
9.1488,30.0000,0.0000,0.0000,9.6808,48.0000,0.0000,0.0000,23.0000,0.0000
9.1139,23.0000,0.0000,0.0000,9.6878,57.0000,0.0000,0.0000,24.0000,0.0000
8.9656,32.0000,0.0000,0.0000,9.6791,78.0000,0.0000,0.0000,38.0000,0.0000
9.2011,39.0000,0.0000,0.0000,9.6668,95.0000,0.0000,0.0000,63.0000,0.0000
9.2534,76.0000,0.0000,0.0000,9.7192,86.0000,0.0000,0.0000,78.0000,0.0000
9.1488,88.0000,0.0000,0.0000,9.7488,62.0000,0.0000,0.0000,89.0000,0.0000
9.4802,87.0000,0.0000,0.0000,10.5965,74.0000,0.0000,0.0000,83.0000,0.0000
10.3872,99.0000,0.0000,0.0000,12.9513,78.0000,0.0000,0.0000,92.0000,0.0000
10.5093,89.0000,0.0000,0.0000,13.9805,101.0000,0.0000,0.0000,86.0000,0.0000
10.4047,86.0000,0.0000,0.0000,13.6246,73.0000,0.0000,0.0000,102.0000,0.0000
10.6663,75.0000,0.0000,0.0000,13.5531,54.0000,0.0000,0.0000,83.0000,0.0000
10.8669,89.0000,0.0000,0.0000,14.0433,80.0000,0.0000,0.0000,89.0000,0.0000
11.3902,93.0000,0.0000,0.0000,19.3878,71.0000,0.0000,0.0000,91.0000,0.0000
18.0098,85.0000,0.0000,0.0000,45.0584,59.0000,0.0000,0.0000,90.0000,0.0000
78.1005,68.0000,0.0000,0.0000,148.3830,32.0000,0.0000,0.0000,90.0000,0.0000
252.8868,78.0000,0.0000,0.0000,193.1990,72.0000,0.0000,0.0000,99.0000,0.0000
423.5479,91.0000,0.0000,0.0000,193.2025,91.0000,0.0000,0.0000,93.0000,0.0000
442.9618,95.0000,0.0000,0.0000,193.2008,90.0000,0.0000,0.0000,80.0000,0.0000
409.7942,91.0000,0.0000,0.0000,193.1955,95.0000,0.0000,0.0000,97.0000,0.0000
407.5092,85.0000,0.0000,0.0000,193.1955,93.0000,0.0000,0.0000,86.0000,0.0000
453.8462,96.0000,0.0000,0.0000,193.2008,98.0000,0.0000,0.0000,91.0000,0.0000
445.9096,96.0000,0.0000,0.0000,193.2043,95.0000,0.0000,0.0000,92.0000,0.0000
300.6105,89.0000,0.0000,0.0000,193.2060,93.0000,0.0000,0.0000,89.0000,0.0000
148.6220,93.0000,0.0000,0.0000,193.2060,97.0000,0.0000,0.0000,96.0000,0.0000
85.6794,96.0000,0.0000,0.0000,193.2077,93.0000,0.0000,0.0000,96.0000,0.0000
54.2561,97.0000,0.0000,0.0000,193.2060,95.0000,0.0000,0.0000,97.0000,0.0000
50.2355,88.0000,0.0000,0.0000,193.2060,94.0000,0.0000,0.0000,83.0000,0.0000
57.1341,95.0000,0.0000,0.0000,193.2025,95.0000,0.0000,0.0000,96.0000,0.0000
53.1746,88.0000,0.0000,0.0000,193.2043,98.0000,0.0000,0.0000,89.0000,0.0000
51.0553,92.0000,0.0000,0.0000,168.8610,91.0000,0.0000,0.0000,94.0000,0.0000
51.8926,93.0000,0.0000,0.0000,149.3912,96.0000,0.0000,0.0000,80.0000,0.0000
50.1657,102.0000,0.0000,0.0000,140.9698,101.0000,0.0000,0.0000,93.0000,0.0000
49.5116,92.0000,0.0000,0.0000,133.0019,91.0000,0.0000,0.0000,95.0000,0.0000
